"","Species","X.2","X.1","X","GrowthForm_CTD","LHS_CTD","Abund_CTD","IUCNstatus","MeanPCcover","Range","ReefArea_Range","major_clade","family_molecules","family_morphology","larval","sexual","nominal.species","Lower_bound","Mean","Upper_bound","IUCN_conservation_status","Abundance_GBR","Abundance_world","Coloniality","Depth_lower","Depth_upper","Eastern-most_range_edge","Genus_fossil_age","Growth_form_typical","IUCN_Red_List_category","Life_history_strategy","Mode_of_larval_development","Northern-most_range_edge","Ocean_basin","Oocyte_size_at_maturity","Range_size","Sexual_system","Southern-most_range_edge","Species_age_phylogeny","Substrate_attachment","Water_clarity_preference","Wave_exposure_preference","Western-most_range_edge","Zooxanthellate","Polyp_fecundity","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_form_Wallace","Growth_outline_type","Growth_rate","Nitrogen_concentration","Phosphorus_concentration","Sample_identifier","Calcification_rate","Skeletal_density","Skeletal_micro-density","Symbiodinium_density","Tissue_thickness","Propagule_size_on_release","Symbiodinium_sp._in_propagules","Colony_area","Colony_shape_factor","Distance_from_crest","Polyps_per_area","Ratio_of_female_to_male_gonads","Size_at_maturity","Colony_bleached","Mitotic_index","RNA:DNA_ratio","Chlorophyll_a","Lipid_content","Total_biomass","Protein_biomass","Age_at_maturity","Eggs_per_area","Generation_time","Mesentery_fecundity","Number_of_septa_per_corallite","Dark_respiration","Gross_photosynthesis","Larval_swimming_speed","Dissolved_oxygen_concentration","Distance_from_shore","Downward_flux_of_suspended_particulate_matter","Light_extinction_coefficient","Nitrite-nitrate_concentration","Particulate_organic_matter_concentration","Phosphate_concentration","Salinity","Suspended_particulate_matter_concentration","Individual_identifier","Propagule_age","Rainfall","Sunlight","Colony_surface_area","pre_fecundity"
"1","Acanthastrea echinata",1,1,1,"massive","stress-tolerant","common","LC",0.065,66201280,241312,"Robust","Lobophyllidae","Mussidae","spawner","hermaphrodite",NA,7.82740004971297,8.90832156329086,9.96929130994581,"Least Concern","uncommon","common","colonial","43.3333333333333","8.33333333333333","-137.3474436","25.666","massive","LC","stress-tolerant","spawner","36.03063196","pacific","443","64652312.74","hermaphrodite","-36.54160431","2.47727808303031","attached","both","broad","26.9928024","zooxanthellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acropor digitifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acropora abrolhosensis",2,2,2,"branching_open",NA,"rare","VU",0.108,28781078,172690,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,0.176124061854127,0.2008156291277,0.225908504034372,"Vulnerable","common","uncommon","colonial","20.5","0","-136.33745034","52.44","branching_open","LC",NA,"spawner","31.21066413","pacific",NA,"63419684.165","hermaphrodite","-34.0029668","3.87591025313423","attached","clear","exposed","25.0445129","zooxanthellate",NA,"133.333333333333","1","0.8","corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acropora abrotanoides",3,3,3,"branching_open",NA,"uncommon","LC",0.145,68866820,234616,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,1.69792016676477,1.93263127265619,2.16724388426356,"Least Concern","common","uncommon","colonial","37.4","5.33333333333333","-169.99388497","52.44","corymbose","VU",NA,"spawner","29.08305865","pacific","656","47171291.805","hermaphrodite","-31.67116472","1.06543566288177","attached","clear","broad","35.8670617","zooxanthellate",NA,NA,"1.2","0.6","arborescent_tables","determinate","42.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acropora aculeus",4,4,4,"corymbose",NA,"uncommon","VU",0.058,52250659,207015,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,1.07569512034965,1.22679345560132,1.37782911453617,"Vulnerable","uncommon","uncommon","colonial","22.5","5","-161.67828547","52.44","branching_open","VU",NA,"spawner","30.75852777","pacific",NA,"42885297.475","hermaphrodite","-35.12419872","1.93903601352788","attached","both","broad","30.3853529","zooxanthellate",NA,"150","1.3","0.8","tables_or_plates","determinate",NA,"1.1245384495","0.150961578","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Acropora acuminata",5,5,5,"branching_open",NA,"uncommon","VU",1.189,44734602,212939,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.876040249474695,0.996723395551234,1.11419975113329,"Vulnerable","common","uncommon","colonial","17.5","5","-172.89557322","52.44","tables_or_plates","VU",NA,NA,"37.84199738","pacific",NA,"50575611",NA,"-35.53327447","1.9100380709495","attached","clear","exposed","24.5075802","zooxanthellate",NA,"50","1.8","1","arborescent","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Acropora anthocercis",6,6,6,"tables_or_plates",NA,"uncommon","VU",0.38,52233252,216222,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,14.7184771885069,16.8738253481636,19.0260123745847,"Vulnerable","common","uncommon","colonial","9.33333333333333","0","-163.938967261","52.44","branching_open","VU",NA,"spawner","38.18648223","pacific",NA,"41935916.085","hermaphrodite","-35.7055169","3.01610547560649","attached","clear","exposed","70.1518221","zooxanthellate",NA,"50","1.5","0.6","arborescent","indeterminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acropora aspera",7,7,7,"branching_open","competitive","uncommon","VU",0.342,43897158,194457,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,9.34703270484058,10.6453649943035,11.9494471230976,"Vulnerable","uncommon","common","colonial","24.75","3.75","-137.60867727","52.44","branching_open","NT","competitive","spawner","31.1205428","pacific",NA,"60709970.61","hermaphrodite","-34.58104986","1.30159797054609","attached","clear","exposed","27.2842283","zooxanthellate",NA,NA,"1","0.7","hispidose","indeterminate","0.37",NA,NA,NA,"0.21","1.28","2.824","2030000","1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Acropora austera",8,8,8,"branching_open",NA,"common","NT",0.258,63714823,234077,"Complex","Acroporidae","Acroporidae",NA,NA,NA,5.67988544947775,6.47097368703246,7.25530667859788,"Near Threatened","common","uncommon","colonial","12.5","0","154.71539343","52.44","hispidose","VU",NA,NA,"30.47951781","pacific","420","9450503.282",NA,"-13.04047873","1.08349899373273","attached","both","protected","95.224756","zooxanthellate",NA,NA,"0.9","0.5","hispidose","indeterminate","24",NA,NA,NA,"0.41","1.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Acropora awi",9,9,9,"hispidose",NA,"uncommon","VU",0.05,8750797,95608,"Complex","Acroporidae","Acroporidae",NA,NA,NA,0.313804892916983,0.352873363733602,0.391293053646736,"Vulnerable",NA,"common","colonial","36.25","4","-136.19568158","52.44","hispidose","NT",NA,NA,"30.57713497","pacific",NA,"37905091.42",NA,"-25.90885649","0.874357006058655","attached","clear","protected","80.263446","zooxanthellate",NA,"100","1","0.6","caespitose_corymbose","determinate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
