Species,Growth_rate,Colony_fecundity,Colony_area,Polyps_per_area,Polyp_fecundity,Eggs_per_area,Colony_maximum_diameter,Corallite_width_minimum,Corallite_width_maximum,GrowthForm_CTD,Abund_CTD,MeanPCcover,family_molecules,family_morphology,larval
Orbicella annularis,7.167090634441088,NA,9.63,6.433333333333334,NA,NA,409.935,2.5,3.8,NA,NA,NA,NA,NA,NA
Porites astreoides,3.309836956521739,NA,136,18,NA,NA,32.843333333333334,1.2,1.6,NA,NA,NA,NA,NA,NA
Acropora gemmifera,24,30705.10580645161,483.947064753186,126,6.448,NA,NA,1,1.6,digitate,common,0.329,Acroporidae,Acroporidae,spawner
Acropora hyacinthus,80.63333333333333,92932.03150455639,1356.8466429098548,112,5.576,NA,300,0.4,1.1,tables_or_plates,common,0.989,Acroporidae,Acroporidae,spawner
Isopora palifera,NA,NA,366.60015451545144,NA,NA,NA,NA,0.7,1.4,branching_open,common,1.834,Acroporidae,Acroporidae,brooder
Porites lutea,14.492785714285715,NA,NA,42.39485,72,2750.19,400,1,1.3,NA,NA,NA,NA,NA,NA
Lobophyllia corymbosa,NA,NA,NA,0.127,2800,356.5,125,18.5,47.5,NA,NA,NA,NA,NA,NA
Porites australiensis,12.461538461538462,NA,NA,38.197,72,2750.19,NA,1.3,1.4,NA,NA,NA,NA,NA,NA
Dipsastraea favus,NA,NA,NA,1.273,1200,1527.8,37,6.5,10,NA,NA,NA,NA,NA,NA
Acropora millepora,NA,18509.141049860606,464.58904270129625,87,5.139,NA,NA,0.4,1.6,corymbose,common,0.21,Acroporidae,Acroporidae,spawner
Acropora nana,NA,894.151976454054,99.93394313031764,50,4.461,NA,15,0.5,1,branching_closed,uncommon,0.358,Acroporidae,Acroporidae,spawner
Goniastrea retiformis,7.27,6349.884811683334,262.0747126308,8.5,45.818,NA,100,3.5,6.5,massive,common,0.332,Merulinidae,Faviidae,spawner
Stylophora pistillata,18.087942306666665,4818.46393939394,123.26811805138095,360,0.7670885714285715,NA,NA,0.9,1.4,branching_closed,common,0.433,Pocilloporidae,Pocilloporidae,brooder
Coelastrea aspera,4,NA,NA,3.4,NA,920,500,8.5,11.5,NA,NA,NA,NA,NA,NA
Goniastrea favulus,4.05,NA,NA,3.9,NA,380,NA,4,7.5,massive,uncommon,0.072,Merulinidae,Faviidae,spawner
Platygyra sinensis,8.366666666666667,NA,NA,4.1,NA,310,NA,3.3,6.7,massive,uncommon,0.096,Merulinidae,Faviidae,spawner
Bernardpora stutchburyi,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homophyllia bowerbanki,NA,NA,NA,NA,NA,NA,175,20,25,NA,NA,NA,NA,NA,NA
Acanthastrea brevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthastrea echinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,massive,common,0.065,Lobophyllidae,Mussidae,spawner
Dipsastrea faviaformis,NA,NA,NA,NA,NA,NA,20,10.3,20.6,NA,NA,NA,NA,NA,NA
Acanthastrea hemprichi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homophyllia hillae,NA,NA,NA,NA,NA,NA,150,32.7,85.7,NA,NA,NA,NA,NA,NA
Acanthastrea ishigakiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromussa lordhowensis,NA,NA,NA,NA,NA,NA,NA,7.5,13.5,NA,NA,NA,NA,NA,NA
Sclerophyllia maxima,NA,NA,NA,NA,NA,NA,NA,27.5,40,NA,NA,NA,NA,NA,NA
Acanthastrea regularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthastrea rotundoflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthastrea subechinata,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA
Acropora abrolhosensis,NA,NA,NA,NA,NA,NA,533.3333333333334,0.9,1.5,branching_open,rare,0.108,Acroporidae,Acroporidae,spawner
Acropora abrotanoides,127.5,NA,NA,NA,NA,NA,NA,0.7,1.2,branching_open,uncommon,0.145,Acroporidae,Acroporidae,spawner
Acropora aculeus,NA,NA,NA,NA,NA,NA,40,0.8,1,corymbose,uncommon,0.058,Acroporidae,Acroporidae,spawner
Acropora acuminata,NA,NA,NA,NA,NA,NA,133.33333333333334,0.6,1.2,branching_open,uncommon,1.189,Acroporidae,Acroporidae,NA
Acropora akajimensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora anthocercis,NA,NA,NA,NA,NA,NA,75,0.8,1.3,tables_or_plates,uncommon,0.38,Acroporidae,Acroporidae,spawner
Acropora appressa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora arabensis,NA,NA,NA,NA,NA,NA,NA,0.5,2,NA,NA,NA,NA,NA,NA
Acropora aspera,6.05105,NA,NA,NA,NA,NA,NA,1,1.8,branching_open,uncommon,0.342,Acroporidae,Acroporidae,spawner
Acropora austera,62.9,NA,NA,NA,NA,NA,NA,0.6,1.5,branching_open,common,0.258,Acroporidae,Acroporidae,NA
Acropora awi,NA,NA,NA,NA,NA,NA,150,0.7,1,hispidose,uncommon,0.05,Acroporidae,Acroporidae,NA
Acropora azurea,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
Acropora batunai,NA,NA,NA,NA,NA,NA,125,0.2,0.5,NA,NA,NA,NA,NA,NA
Acropora bifurcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora branchi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isopora brueggemanni,74.8,NA,NA,NA,NA,NA,NA,1,1.6,branching_open,common,0.979,Acroporidae,Acroporidae,brooder
Acropora bushyensis,NA,NA,NA,NA,NA,NA,25,0.7,1.5,NA,NA,NA,NA,NA,NA
Acropora cardenae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora carduus,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,hispidose,common,0.165,Acroporidae,Acroporidae,spawner
Acropora caroliniana,NA,NA,NA,NA,NA,NA,50,0.6,1,tables_or_plates,uncommon,0.059,Acroporidae,Acroporidae,NA
Acropora cerealis,42.9,NA,NA,NA,NA,NA,50,0.3,0.8,corymbose,common,0.188,Acroporidae,Acroporidae,spawner
Acropora cervicornis,55.7848431372549,NA,NA,25,NA,NA,68.69,1.1,1.7,NA,NA,NA,NA,NA,NA
Acropora chesterfieldensis,NA,NA,NA,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA
Acropora clathrata,NA,NA,NA,NA,NA,NA,NA,0.5,0.9,tables_or_plates,common,0.234,Acroporidae,Acroporidae,spawner
Acropora convexa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora cophodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora copiosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isopora crateriformis,NA,NA,NA,NA,NA,NA,86.66666666666667,0.5,0.8,NA,NA,NA,NA,NA,NA
Isopora cuneata,NA,NA,NA,NA,NA,NA,20,0.5,1,NA,NA,NA,NA,NA,NA
Acropora cylindrica,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Acropora cytherea,59.725,NA,NA,NA,NA,NA,300,0.7,1,tables_or_plates,common,0.921,Acroporidae,Acroporidae,NA
Acropora dendrum,NA,NA,NA,NA,NA,NA,100,0.5,1.2,NA,NA,NA,NA,NA,NA
Acropora derawanensis,NA,NA,NA,NA,NA,NA,100,0.5,1,NA,NA,NA,NA,NA,NA
Acropora desalwii,NA,NA,NA,NA,NA,NA,30,0.6,0.8,corymbose,common,0.073,Acroporidae,Acroporidae,NA
Acropora digitifera,37.6,NA,NA,NA,NA,NA,100,0.6,1.6,digitate,uncommon,0.552,Acroporidae,Acroporidae,spawner
Acropora divaricata,41.5,NA,NA,NA,NA,NA,NA,0.7,1.1,tables_or_plates,common,0.175,Acroporidae,Acroporidae,spawner
Acropora donei,NA,NA,NA,NA,NA,NA,266.6666666666667,0.8,1.4,branching_open,uncommon,0.231,Acroporidae,Acroporidae,spawner
Acropora downingi,NA,NA,NA,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA
