"","...1","...2","X","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","Abundance_GBR","Abundance_world","Growth_form_typical","Wave_exposure_preference","Growth_form_Wallace","MeanPCcover","ReefArea_Range","Depth_lower","Depth_upper","Oocyte_size_at_maturity","Polyp_fecundity","Polyps_per_area","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_rate","Colony_area","Size_at_maturity","Eggs_per_area","Colony_surface_area","fecundity","Colony_fecundity","coralcover","IndoPacific_fecundity","Genus","GrowthForm"
"1",1,1,1,"Acanthastrea echinata","massive","common","Lobophyllidae","Mussidae","spawner","uncommon","common","massive","broad",NA,0.065,241312,43.3333333333333,8.33333333333333,443,8.24186866666667,56.1352380952381,251.982712675408,20.6513071686281,4.06525555671378,27.9493629697507,850.492428591798,29.56528048,380,4.97750000000001,462.659259953016,393488.197607925,13294754.153922,61509411181108379648,"Acanthastrea","Massive"
"2",2,3,3,"Acropora abrolhosensis","branching_open","rare","Acroporidae","Acroporidae","spawner","common","uncommon","branching_open","exposed","corymbose",0.108,172690,20.5,0,422.777116013072,6.87468599999999,82.992,133.333333333333,1,0.8,44.2973051133181,656.47308329469,41.1960741788,380,4.97750000000001,570.543940511999,374546.739783014,22089745.3634397,1.26031703645635e+20,"Acropora","Branching"
"3",3,4,4,"Acropora abrotanoides","branching_open","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","corymbose","broad","arborescent_tables",0.145,234616,37.4,5.33333333333333,656,8.74219266666667,47.8672380952381,126.347849625119,1.2,0.6,42.9,875.799299717507,29.922731988,380,4.97750000000001,418.464617849778,366491.01926939,29657528.4972107,1.24106263289542e+20,"Acropora","Branching"
"4",4,5,5,"Acropora aculeus","corymbose","uncommon","Acroporidae","Acroporidae","spawner","uncommon","uncommon","branching_open","broad","tables_or_plates",0.058,207015,22.5,5,338.361403372036,5.737486,37.1632380952381,150,1.3,0.8,41.3366976446502,774.571815214669,41.1026905344,380,4.97750000000001,213.223558286095,165156.958588192,11863011.3988843,25294735024586158080,"Acropora","Other"
"5",5,6,6,"Acropora acuminata","branching_open","uncommon","Acroporidae","Acroporidae",NA,"common","uncommon","tables_or_plates","exposed","arborescent",1.189,212939,17.5,5,450.047544011544,6.76684,69.6103333333334,50,1.8,1,50.7549243703404,783.007438923238,35.215245568,380,4.97750000000001,471.041988013334,368829.380659631,243191733.677128,1.14553517699684e+21,"Acropora","Branching"
"6",6,7,7,"Acropora anthocercis","tables_or_plates","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","branching_open","exposed","arborescent",0.38,216222,9.33333333333333,0,357.620174963925,6.55977666666666,62.4566666666667,50,1.5,0.6,30.1942477173203,723.958072963249,34.0068363448,380,4.97750000000001,409.701784677778,296606.914524928,77723178.1306211,3.18433247909443e+20,"Acropora","Other"
"7",7,8,8,"Acropora aspera","branching_open","uncommon","Acroporidae","Acroporidae","spawner","uncommon","common","branching_open","exposed","hispidose",0.342,194457,24.75,3.75,307.759540753083,5.679011,79.8806666666667,264.17660295955,1,0.7,0.37,664.90870700326,33.0278654652,380,4.97750000000001,453.643184687334,301631.303371296,69950860.317559,3.17327310460763e+20,"Acropora","Branching"
"8",8,9,9,"Acropora austera","branching_open","common","Acroporidae","Acroporidae",NA,"common","uncommon","hispidose","protected","hispidose",0.258,234077,12.5,0,420,5.338491,91.305,185.646470193105,0.9,0.5,24,622.73058846041,26.84976465,380,4.97750000000001,487.430920755,303538.144115561,52769947.2571059,2.57217039797239e+20,"Acropora","Branching"
"9",9,10,10,"Acropora awi","hispidose","uncommon","Acroporidae","Acroporidae",NA,NA,"common","hispidose","protected","caespitose_corymbose",0.05,95608,36.25,4,445.307680672269,7.51697999999999,57.9450000000001,100,1,0.6,50.4839271464646,926.413041968926,32.24616679,380,4.97750000000001,435.5714061,403519.031319784,10226733.9645554,44544728927520227328,"Acropora","Other"
"10",10,11,11,"Acropora carduus","hispidose","common","Acroporidae","Acroporidae","spawner","common","uncommon","tables_or_plates","exposed","corymbose",0.165,181180,35,10,386.71755952381,4.547191,76.35,184.768895718639,0.8,0.3,58.399769387361,766.136191506099,28.63702219,380,4.97750000000001,347.17803285,265985.655862278,33748222.0830329,1.17166413549723e+20,"Acropora","Other"
"11",11,12,12,"Acropora caroliniana","tables_or_plates","uncommon","Acroporidae","Acroporidae",NA,"common","common","corymbose","exposed","tables_or_plates",0.059,167504,26.2,3,446.013862044818,7.25423666666666,66.909,150,0.9,0.5,53.453974046558,740.829320380389,33.2065912192,380,4.97750000000001,485.37372113,359579.083955238,12067546.0781754,58572697448717312000,"Acropora","Other"
"12",12,13,13,"Acropora cerealis","corymbose","common","Acroporidae","Acroporidae","spawner","common","common","tables_or_plates","broad","tables_or_plates",0.188,230455,27.25,3.5,646,13.968236,52.3059047619048,50,1,0.7,80.6333333333333,1027.64052647176,29.3197590668,380,4.97750000000001,730.62122190781,750815.977132782,38452519.7067283,2.8094226933564e+20,"Acropora","Other"
"13",13,14,14,"Acropora clathrata","tables_or_plates","common","Acroporidae","Acroporidae","spawner","common","common","tables_or_plates","broad","corymbose",0.234,237106,30.0833333333333,13,341.521282163743,5.09844433333334,91.8752380952382,210.546578538798,0.8,0.6,18.6430439181027,698.65120183754,25.633313892,380,4.97750000000001,468.420787040319,327262.745831405,47861114.9541193,2.24191411354357e+20,"Acropora","Other"
"14",14,15,15,"Acropora cytherea","tables_or_plates","common","Acroporidae","Acroporidae",NA,"common","common","corymbose","protected","corymbose",0.921,238455,32.5,10,446,4.87129166666667,81.8952380952382,450,1.6,0.6,41.9,749.264944088959,29.7600893036,380,4.97750000000001,398.935590873017,298908.453190567,188376439.627111,7.51500662491968e+20,"Acropora","Other"
"15",15,17,17,"Acropora desalwii","corymbose","common","Acroporidae","Acroporidae",NA,NA,"common","tables_or_plates","exposed","arborescent_tables",0.073,88805,20,5.5,351.619991726664,6.593361,69.2523333333334,333.333333333333,1.4,0.8,38.6198423991973,656.47308329469,35.180616048,380,4.97750000000001,456.605633759,299749.308243497,14931031.5882509,68175931410289508352,"Acropora","Other"
"16",16,18,18,"Acropora digitifera","digitate","uncommon","Acroporidae","Acroporidae","spawner","common","uncommon","branching_open","broad","hispidose",0.552,235048,36.6666666666667,5,349.714561108654,4.93765433333334,54.7549047619048,200,1,0.5,16.7,799.878686340379,24.5529178332,380,4.97750000000001,270.360792768874,216255.83575791,112903142.968692,3.05245832391131e+20,"Acropora","Digitate"
"17",17,19,19,"Acropora divaricata","tables_or_plates","common","Acroporidae","Acroporidae","spawner","rare","uncommon","hispidose","protected","hispidose",0.175,207244,41.6666666666667,8,155,5.75626933333333,49.1445714285714,111.544443275913,0.9,0.6,40.3,867.363676008937,35.4873549664,380,4.97750000000001,282.889389414095,245367.980706133,35793568.8759439,1.01256208442671e+20,"Acropora","Other"
"18",18,20,20,"Acropora donei","branching_open","uncommon","Acroporidae","Acroporidae","spawner","common","common","hispidose","broad","hispidose",0.231,183994,24.5,2.5,364.083052465227,5.34506766666667,86.0930000000001,500,1.4,0.7,30.494879490117,673.34433071183,34.5083840868,380,4.97750000000001,460.172910626334,309854.820517404,47247510.916246,2.17420246181784e+20,"Acropora","Branching"
"19",19,21,21,"Acropora echinata","hispidose","uncommon","Acroporidae","Acroporidae","spawner","common","rare","branching_closed","broad","corymbose",0.137,186715,20,2,458.231766233766,7.01060666666666,68.7236666666667,50,1.6,1,56.7751618686869,858.928052300367,37.5467219048,380,4.97750000000001,481.794595691111,413826.893685809,28021251.0628818,1.35004873266003e+20,"Acropora","Other"
"20",20,22,22,"Acropora elseyi","hispidose","common","Acroporidae","Acroporidae","spawner","rare","common","branching_open","broad","corymbose",0.602,201652,31.5,3,355.193680517023,6.83914666666666,25.5112380952381,45,1.3,0.9,34.3,875.799299717507,40.1076365852,380,4.97750000000001,174.475098981587,152805.169506217,123129876.933247,2.14830974655189e+20,"Acropora","Other"
"21",21,23,23,"Acropora fastigata","branching_closed","rare","Acroporidae","Acroporidae",NA,"common","common","digitate","broad",NA,0.093,103898,16,1,358.715803096423,8.23321466666666,92.3066666666667,420.283826419405,41.7273875705594,5.54947114906878,27.5879476533283,639.60183587755,36.2102995172,380,4.97750000000001,759.980601831111,486084.988162504,19021725.1740731,1.44561421456581e+20,"Acropora","Branching"
"22",22,24,24,"Acropora florida","branching_open","common","Acroporidae","Acroporidae","spawner","common","rare","tables_or_plates","protected","tables_or_plates",0.354,206863,20,5,331.788417445128,5.788256,53.8272380952381,100,1.7,0.8,40.3466185690199,816.749933757518,40.2436912844,380,4.97750000000001,311.56583386819,254471.37417295,72405276.4690523,2.25590103395371e+20,"Acropora","Branching"
"23",23,25,25,"Acropora gemmifera","digitate","common","Acroporidae","Acroporidae","spawner","uncommon","common","digitate","exposed",NA,0.329,235446,14,0,408.70509642401,4.966,129,204.764491606679,0.9,0.4,5.9,479.324985414723,10.07859514,380,4.97750000000001,640.614,307062.296206467,67291909.4867746,4.31081393039606e+20,"Acropora","Digitate"
"24",24,26,26,"Acropora glauca","tables_or_plates","rare","Acroporidae","Acroporidae","spawner","common","uncommon","branching_open","exposed","arborescent",0.123,167754,23.5,5,458.898551587302,7.44503,43.2243333333333,142.243237924919,1.1,0.6,57.0407055965113,909.541794551787,35.5300260212,380,4.97750000000001,321.806458396666,292696.423668459,25157765.5528063,80959314337222377472,"Acropora","Other"
"25",25,27,27,"Acropora globiceps","digitate","common","Acroporidae","Acroporidae",NA,NA,"common","branching_open","broad","corymbose",0.264,131898,47,20,468.353064574315,8.87866566666667,79.5040000000001,197.385857904497,1.5,0.6,56.7324949607153,842.056804883227,28.7569938196,380,4.97750000000001,705.889435162668,594399.002373902,53997155.3328526,3.81160214782982e+20,"Acropora","Digitate"
"26",26,28,28,"Acropora gomezi","branching_open","uncommon","Acroporidae","Acroporidae",NA,NA,"common","tables_or_plates","broad",NA,0.323,69591,26.8729912760902,2.87009107863995,344.457817646687,7.457168,80.716,384.513906903379,12.7263682511954,4.93094779623031,2,723.958072963249,34.4150004424,380,4.97750000000001,601.912772288,435759.610717587,66064701.411028,3.97651875766908e+20,"Acropora","Branching"
"27",27,29,29,"Acropora grandis","branching_open","common","Acroporidae","Acroporidae","spawner","common","common","branching_open","broad","arborescent",0.71,223434,26.75,6.5,317.315073013416,6.30639666666667,36.6463333333333,80,1.1,0.4,33.5555269858867,884.234923426077,30.0587866872,380,4.97750000000001,231.106314378889,204352.2741981,145219622.296687,3.35611716844817e+20,"Acropora","Branching"
"28",28,30,30,"Acropora granulosa","tables_or_plates","common","Acroporidae","Acroporidae","spawner","common","uncommon","branching_closed","protected","corymbose",0.085,201522,12.8,1.5,372.491502561255,4.991791,74.7773333333334,180,1.5,0.8,9.8625,631.16621216898,38.864597842,380,4.97750000000001,373.272819537334,235597.191613014,17385447.7397442,64895150967332888576,"Acropora","Other"
"29",29,31,31,"Acropora hoeksemai","branching_open","common","Acroporidae","Acroporidae",NA,NA,"common","digitate","exposed","corymbose",0.46,70086,20,2.5,362.22594047619,7.36520266666666,86.2833333333334,103,0.6,0.4,45.7318437454376,715.522449254679,31.7180310628,380,4.97750000000001,635.494236755555,454710.392770568,94085952.4739098,5.97910805568267e+20,"Acropora","Branching"
"30",30,32,32,"Acropora horrida","branching_closed","uncommon","Acroporidae","Acroporidae","spawner","common","common","tables_or_plates","exposed","corymbose",0.35,237043,30,0.5,355.023490196079,6.10068666666667,56.1809047619048,80,0.9,0.6,19.2548874548091,842.056804883228,31.0457991016,380,4.97750000000001,342.742096602223,288608.314763846,71587137.7518879,2.45359256828342e+20,"Acropora","Branching"
