"","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","MeanPCcover","Growth_rate","Colony_fecundity","Colony_area","Polyps_per_area","Polyp_fecundity","Eggs_per_area","Colony_maximum_diameter","Corallite_width_minimum","Corallite_width_maximum"
"1","Orbicella annularis",NA,NA,NA,NA,NA,NA,7.16709063444109,26811.959806197,9.63,6.43333333333333,713.520533542857,824.8611,409.935,2.5,3.8
"2","Porites astreoides",NA,NA,NA,NA,NA,NA,3.30983695652174,7559.88888518709,136,18,690.546958857142,1132.1884,32.8433333333333,1.2,1.6
"3","Acropora gemmifera","digitate","common","Acroporidae","Acroporidae","spawner",0.329,24,30705.1058064516,483.947064753186,126,6.448,2604.1977,186.410466666667,1,1.6
"4","Acropora hyacinthus","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.989,80.6333333333333,92932.0315045564,1356.84664290985,112,5.576,2604.1977,300,0.4,1.1
"5","Isopora palifera","branching_open","common","Acroporidae","Acroporidae","brooder",1.834,69.9156383813176,44510.4168490909,366.600154515451,80.5208171666666,15.7176762,2604.1977,1105.5,0.7,1.4
"6","Porites lutea",NA,NA,NA,NA,NA,NA,14.4927857142857,34930.3482040307,327.583505183437,42.39485,72,2750.19,400,1,1.3
"7","Lobophyllia corymbosa",NA,NA,NA,NA,NA,NA,7.06938913473143,9196.03919396186,160.539368776274,0.127,2800,356.5,125,18.5,47.5
"8","Porites australiensis",NA,NA,NA,NA,NA,NA,12.4615384615385,34308.6329692669,322.345458183232,38.197,72,2750.19,880.5,1.3,1.4
"9","Dipsastraea favus",NA,NA,NA,NA,NA,NA,9.42827080516494,7626.81832617008,133.556869662205,1.273,1200,1527.8,37,6.5,10
"10","Acropora millepora","corymbose","common","Acroporidae","Acroporidae","spawner",0.21,25.7669614882841,18509.1410498606,464.589042701296,87,5.139,2211.0925,158.235,0.4,1.6
"11","Acropora nana","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.358,23.452072959808,894.151976454054,99.9339431303176,50,4.461,2058.3088,15,0.5,1
