"","Species","GrowthForm_CTD","Abund_CTD","family_molecules","family_morphology","larval","MeanPCcover","Growth_rate","Colony_fecundity","Colony_area","Polyps_per_area","Polyp_fecundity","Eggs_per_area","Colony_maximum_diameter","Corallite_width_minimum","Corallite_width_maximum"
"1","Orbicella annularis",NA,NA,NA,NA,NA,NA,7.16709063444109,NA,9.63,6.43333333333333,NA,NA,409.935,2.5,3.8
"2","Porites astreoides",NA,NA,NA,NA,NA,NA,3.30983695652174,NA,136,18,NA,NA,32.8433333333333,1.2,1.6
"3","Acropora gemmifera","digitate","common","Acroporidae","Acroporidae","spawner",0.329,24,30705.1058064516,483.947064753186,126,6.448,NA,NA,1,1.6
"4","Acropora hyacinthus","tables_or_plates","common","Acroporidae","Acroporidae","spawner",0.989,80.6333333333333,92932.0315045564,1356.84664290985,112,5.576,NA,300,0.4,1.1
"5","Isopora palifera","branching_open","common","Acroporidae","Acroporidae","brooder",1.834,NA,NA,366.600154515451,NA,NA,NA,NA,0.7,1.4
"6","Porites lutea",NA,NA,NA,NA,NA,NA,14.4927857142857,NA,NA,42.39485,72,2750.19,400,1,1.3
"7","Lobophyllia corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,2800,356.5,125,18.5,47.5
"8","Porites australiensis",NA,NA,NA,NA,NA,NA,12.4615384615385,NA,NA,38.197,72,2750.19,NA,1.3,1.4
"9","Dipsastraea favus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.273,1200,1527.8,37,6.5,10
"10","Acropora millepora","corymbose","common","Acroporidae","Acroporidae","spawner",0.21,NA,18509.1410498606,464.589042701296,87,5.139,NA,NA,0.4,1.6
"11","Acropora nana","branching_closed","uncommon","Acroporidae","Acroporidae","spawner",0.358,NA,894.151976454054,99.9339431303176,50,4.461,NA,15,0.5,1
"12","Goniastrea retiformis","massive","common","Merulinidae","Faviidae","spawner",0.332,7.27,6349.88481168333,262.0747126308,8.5,45.818,NA,100,3.5,6.5
"13","Stylophora pistillata","branching_closed","common","Pocilloporidae","Pocilloporidae","brooder",0.433,18.0879423066667,4818.46393939394,123.268118051381,360,0.767088571428571,NA,NA,0.9,1.4
"14","Coelastrea aspera",NA,NA,NA,NA,NA,NA,4,NA,NA,3.4,NA,920,500,8.5,11.5
"15","Goniastrea favulus","massive","uncommon","Merulinidae","Faviidae","spawner",0.072,4.05,NA,NA,3.9,NA,380,NA,4,7.5
"16","Platygyra sinensis","massive","uncommon","Merulinidae","Faviidae","spawner",0.096,8.36666666666667,NA,NA,4.1,NA,310,NA,3.3,6.7
"17","Bernardpora stutchburyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA
"18","Homophyllia bowerbanki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,20,25
"19","Acanthastrea brevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Acanthastrea echinata","massive","common","Lobophyllidae","Mussidae","spawner",0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Dipsastrea faviaformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10.3,20.6
